2020-08-09  18:02,1292435368701124615,RT @samislerin: How much did BJP SPEND TO buy Corona?,2020-08-09 12:19:38,,,,"Mumbai, India"
2020-08-09  18:02,1292435335645782022,@MahaGovtMic @nawabmalikncp @Awhadspeaks @AnilDeshmukhNCP @InfoChandrapur @InfoDivPune @midc_india @iAditiTatkare H… https://t.co/BvNbtk4gQo,2020-08-09 12:19:30,,,,Mumbai
2020-08-09  18:02,1292434935542771719,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:17:55,,,,
2020-08-09  18:02,1292434383815815168,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:15:44,,,,
2020-08-09  18:02,1292434186113101825,"@Vivisash68 @Aasif_epicure @bainjal @imarti_rani420 All BJP guys and sanghis should be treated with Coronil, gau mu… https://t.co/uPRZzbmZnj",2020-08-09 12:14:56,,,,Bangalore & Mumbai 
2020-08-09  18:02,1292434098296774657,RT @VallabhMIRROR: Mumbai Mirror team pays tribute to all the 56 policemen attached with @MumbaiPolice who lost their lives while battling…,2020-08-09 12:14:35,,,,"Coimbatore, India"
2020-08-09  18:02,1292433974225068032,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 12:14:06,,,,
2020-08-09  18:02,1292433792582352896,This is an unforgettable moment in honor of Mahadkar who had done their duty for the safety and welfare of the soci… https://t.co/s1Y3Zg3Eup,2020-08-09 12:13:23,,,,"Mahad, India"
2020-08-09  18:02,1292433599212457984,RT @IndurChhugani: On 5th Corona went on vacation? https://t.co/JCh526M4I0,2020-08-09 12:12:36,,,,"Jeddah, Saudi Arabia"
2020-08-09  18:02,1292433598541254656,"@OfficeofUT Priorities defined: 
1. Highest no of corona cases in MH
2. Mumbai flooded as always

#noactiontaken… https://t.co/cAwlxqVr82",2020-08-09 12:12:36,,,,"Pune, India"
2020-08-09  18:02,1292433361017769985,"RT @MarsianStark: CORONA is curse for World,
Yet boon for Sushant Culprits.

 #DishaAndSSRCaseLinked",2020-08-09 12:11:40,,,,
2020-08-09  18:02,1292433315316858882,RT @IndurChhugani: On 5th Corona went on vacation?,2020-08-09 12:11:29,,,,
2020-08-09  18:02,1292432936239693824,"I request a CBI enquiry on #MumbaiPoliceExposed and #UddhavThackeray.
Corona &amp; floods in #Maharashtra and CM is bus… https://t.co/DLnzSJToM8",2020-08-09 12:09:58,,Haveli,,"Pune, India"
2020-08-09  18:02,1292432648309100544,"RT @Kangana_Ra: Maharashtra has highest number of Corona cases, Mumbai is flooded due to heavy rain &amp; people are dying.

But Uddhav Thacker…",2020-08-09 12:08:50,,,,
2020-08-09  18:02,1292432537692721152,@kamalpk1_ @ishehnaaz_gill Meine Sunna web series ki shooting start ho gae thi but kisiko Corona hua to shoot rokna… https://t.co/9R2fXh8DPp,2020-08-09 12:08:23,,,,"Mumbai, India"
2020-08-09  18:02,1292432186012921857,"RT @MarsianStark: CORONA is curse for World,
Yet boon for Sushant Culprits.

 #DishaAndSSRCaseLinked",2020-08-09 12:07:00,,,,
2020-08-09  18:02,1292432171395932162,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 12:06:56,,,,Talasari/Maharashtra/lndia
2020-08-09  18:02,1292432114168680450,RT @RamShindespeaks: The concept of a self-reliant India without securing the old age sticks of Corona Warriors is meaningless! OPS has to…,2020-08-09 12:06:42,,,,
