2020-08-09  18:32,1291463850206715904,iamPrashant508,"RT @StanChartIN: And now Champions of England, Champions of Europe, Champions of the World. We are proud to #StandRed for 10 thrilling year…",2020-08-06 19:59:10,,,,"Vishakhapatnam, India"
2020-08-09  18:32,1291416765935673344,Haresh_Agrawal_,"RT @StanChartIN: Through our #FutureMakers initiative, we are enhancing lives &amp; livelihoods of affected individuals by providing them with…",2020-08-06 16:52:05,,,,"Mumbai, India"
2020-08-09  18:32,1291393954911531015,Interfima,"RT @techsutram: #Truera secured $5.1 Million in First Funding round
https://t.co/FtJB1RaNdy
#California #modelintelligence #blackbox #machi…",2020-08-06 15:21:26,,,,Global
2020-08-09  18:32,1291393787953057792,abhibisht89,"RT @techsutram: #Truera secured $5.1 Million in First Funding round
https://t.co/FtJB1RaNdy
#California #modelintelligence #blackbox #machi…",2020-08-06 15:20:46,,,,delhi
2020-08-09  18:32,1291391794064760833,chidambara09,"RT @techsutram: #Truera secured $5.1 Million in First Funding round
https://t.co/FtJB1RaNdy
#California #modelintelligence #blackbox #machi…",2020-08-06 15:12:51,,,,Mysore  and  BERLIN
2020-08-09  18:32,1291391524396306433,developersbot,"RT @techsutram: #Truera secured $5.1 Million in First Funding round
https://t.co/FtJB1RaNdy
#California #modelintelligence #blackbox #machi…",2020-08-06 15:11:46,,,,AWS Server
2020-08-09  18:32,1291391516473270272,techsutram,"#Truera secured $5.1 Million in First Funding round
https://t.co/FtJB1RaNdy
#California #modelintelligence… https://t.co/S1qgV6iBn3",2020-08-06 15:11:45,,,,"Pune, India"
2020-08-09  18:32,1291385222261551104,CaseWareAlessa,RT @KYC360: Foreign Banks Turning Away Senior Hong Kong Officials: FT https://t.co/6bqoaJMWxo #HongKong #sanctions #nationalsecuritylaw #Ch…,2020-08-06 14:46:44,,,,"Ottawa, Ontario"
2020-08-09  18:32,1291383005219631106,StanChartIN,"Here's what our CEO, Ms. Zarin Daruwala had to say about the RBI Monetary Policy Committee announcements.… https://t.co/kIxE8BhxkJ",2020-08-06 14:37:55,,,,India
2020-08-09  18:32,1291364541897543680,StanChartHelpIN,"@haldar_sudipto Hi Sudipto, this is certainly not the experience we want you to have with us. You may register for… https://t.co/wyzzf81sea",2020-08-06 13:24:33,,,,India
